,latitude,longitude,train_station
152,-37.7893319,144.8342699,Sunshine
153,-37.7578906,144.8098815,Ginifer
154,-37.9760029,145.0582633,Flinders Street
155,-37.7007937,144.773931,Watergardens
156,-37.8203955,145.0025153,Richmond
157,-37.877285,145.042831,Caulfield
158,-37.9230505,145.1202131,Clayton
159,-37.98749,145.2147923,Dandenong
160,-38.0403826,145.3481493,Berwick
161,-38.079153,145.4833359,Pakenham
162,-37.7566261,144.9159095,Essendon
163,-37.6829014,144.918736,Broadmeadows
164,-38.1444729,145.1268808,Frankston
165,-37.6258153,144.9255725,Roxburgh Park
166,-37.599474,144.9379477,Craigieburn
167,-37.6567594,144.9345853,Coolaroo
168,-38.0558639,145.2561128,Lynbrook
169,-38.1218719,145.1352792,Kananook
170,-38.1402971,145.4255307,Cardinia Road
171,-37.6316767,145.0836353,South Morang
172,-37.8614297,144.7445428,Williams Landing
173,-38.215448,144.306049,Waurn Ponds
174,-37.8761028,144.6084958,Wyndham Vale
175,-37.83824335,144.704035922994,Tarneit
176,-37.7345608,144.7371975,Caroline Springs
177,-37.78925135,144.912936941165,Flemington Racecourse
178,-38.1048309,145.1384475,Seaford
179,-37.7835349,144.9149757,Showgrounds
180,-38.083045,145.180350343773,Carrum
181,-38.0630635,145.1276225,Bonbeach
182,-38.0523182,145.1165042,Chelsea
183,-38.0375588,145.1149321,Edithvale
184,-38.0272365,145.1021263,Aspendale
185,-38.01312,145.09808870064,Mordialloc
186,-37.9918673,145.081286,Parkdale
187,-37.9816557,145.0690116,Mentone
188,-37.9634181,145.0615668,Cheltenham
189,-37.8930722,145.3083248,Upper Ferntree Gully
190,-37.872805,145.237590318182,Ferntree Gully
191,-37.8563043,145.2859658,Boronia
192,-37.84131825,145.267456411663,Bayswater
193,-37.8305406,145.2442572,Heathmont
194,-37.9484438,145.04188,Highett
195,-37.8798583,145.1643229,Glen Waverley
196,-37.8762394,145.1475136,Syndal
197,-37.8802,145.150296674883,Mount Waverley
198,-37.7576639,145.352405,Lilydale
199,-37.7813447,145.3256732,Mooroolbark
200,-37.795177,145.284447,Croydon
201,-37.8130808,145.2530126,Ringwood East
202,-38.079153,145.4833359,Pakenham
203,-38.0601977,145.4099219,Officer
204,-38.0403488,145.3831468,Beaconsfield
205,-38.3538163,145.1894268,Morradoo
206,-38.0403826,145.3481493,Berwick
207,-38.017956,145.3058481,Narre Warren
208,-38.0074845,145.268858,Hallam
209,-38.0999707,145.28107525,Cranbourne
210,-38.079895,145.2640712,Merinda Park
211,-37.98749,145.2147923,Dandenong
212,-37.9779238,145.1913141,Yarraman
213,-37.967155,145.1761558,Noble Park
214,-37.9569001,145.1633076,Sandown Park
215,-37.8257409,145.06830388615,East Camberwell
216,-38.3375798,145.1773289,Bittern
217,-37.8243448,145.0757933,Canterbury
218,-37.8243085,145.089252915909,Chatham
219,-37.8271881,145.0978326,Surrey Hills
220,-37.8175479,145.1075721,Mont Albert
221,-37.8208704,145.1414103,Laburnum
222,-37.8199007,145.1501308,Blackburn
223,-37.8173756,145.1765308,Nunawading
224,-37.818192,145.1990212,Mitcham
225,-37.8188028,145.2143249,Heatherdale
226,-37.8114765,145.2334151,Ringwood
227,-38.350525,145.388606945153,Hastings
228,-37.71801135,144.720989034992,Auburn
229,-37.8213791,145.0363155,Glenferrie
230,-37.8355533,145.055224565243,Hawthorn
231,-37.8296132,145.0175294,Burnley
232,-37.8203955,145.0025153,Richmond
233,-37.8347125,145.0227944,Heyington
234,-37.841394,145.0358402,Kooyong
235,-37.849344,145.0417139,Tooronga
236,-37.8528971,145.051044659315,Gardiner
237,-38.2637008,145.1871641,Tyabb
238,-37.9456253,145.1580111,Springvale
239,-37.9380308,145.138256,Westall
240,-37.9230505,145.1202131,Clayton
241,-37.9076585,145.1084736,Huntingdale
242,-37.8995549,145.0877144,Oakleigh
243,-37.8950867,145.0780176,Hughesdale
244,-37.8968653,145.0703808,Murrumbeena
245,-37.9008141,144.6616976,Werribee
246,-37.8665704,144.6949625,Hoppers Crossing
247,-37.85730435,144.888914451818,North Williamstown
248,-37.81000275,144.962594397764,Melbourne Central
249,-37.8005584,144.8710808,West Footscray
250,-37.81393,145.123762360105,Box Hill
251,-38.1153761,144.3508074,North Geelong
252,-37.8167092,144.981953,Jolimont
